id,name,latitude,longitude,district
3708,W 13 St & 5 Ave,40.735445,-73.99431,6
3077,Stagg St & Union Ave,40.70877084,-73.95095259,90
3870,Melrose St & Broadway,40.697480999999996,-73.935877,83
3370,E 78 St & 2 Ave,40.7727966,-73.95577801,19
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,88
455,1 Ave & E 44 St,40.75001986,-73.96905301,17
391,Clark St & Henry St,40.69760127,-73.99344559,84
3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847,25
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,9
251,Mott St & Prince St,40.72317958,-73.99480012,5
3769,White St & Johnson Ave,40.707174,-73.93581,90
3263,Cooper Square & Astor Pl,40.729514962249496,-73.990752696991,9
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,108
3241,Monroe St & Tompkins Ave,40.686203000000006,-73.944694,79
223,W 13 St & 7 Ave,40.73781509,-73.99994661,6
4012,W 148 St & Amsterdam Ave,40.827075,-73.945909,30
3044,Albany Ave & Fulton St,40.6800105,-73.938475,79
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,24
249,Harrison St & Hudson St,40.71870987,-74.0090009,1
3973,St Nicholas Ave & W 150 St,40.827212,-73.942722,30
478,11 Ave & W 41 St,40.76030096,-73.99884222,10
470,W 20 St & 8 Ave,40.74345335,-74.00004031,10
3157,East End Ave & E 86 St,40.77518615,-73.94446054,19
457,Broadway & W 58 St,40.76695317,-73.98169333,18
3065,Union Ave & Wallabout St,40.70029511,-73.95032283,90
3141,1 Ave & E 68 St,40.76500525,-73.95818491,19
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,79
3697,W 64 St & Thelonious Monk Circle,40.7751595343424,-73.98918695747851,20
3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,28
480,W 53 St & 10 Ave,40.76669671,-73.99061728,18
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,20
297,E 15 St & 3 Ave,40.734232,-73.986923,13
3412,Pacific St & Nevins St,40.6853761,-73.98302136,84
267,Broadway & W 36 St,40.75097711,-73.98765428,14
3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,23
3596,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,71
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,88
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,90
3286,E 89 St & 3 Ave,40.7806284,-73.9521667,19
127,Barrow St & Hudson St,40.73172428,-74.00674436,6
4102,Grand Concourse & E 164 St,40.829608,-73.921461,44
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,79
4075,Central Park West & W 85 St,40.78476,-73.969862,20
